soft | "Quelle mamie fait peur aux voleurs ? Mamie Traillette."
soft | "Pourquoi est-ce si difficile de conduire dans le Nord ? Parce que les voitures n'arrêtent pas de caler. (Pas-de-Calais)"
soft | "Pourquoi est-ce qu'on dit que les bretons sont tous frères et sœurs ? Parce qu'ils ont Quimper."
soft | "Que faisaient les dinosaures quand ils n'arrivaient pas à se décider ? Des tirageosaures."
soft | "Pourquoi est-ce qu'il faut mettre tous les crocos en prison ? Parce que les crocos dealent."
soft | "Comment fait-on pour allumer un barbecue breton ? On utilise des breizh."
soft | "Pourquoi dit-on que les poissons travaillent illégalement ? Parce qu'ils n'ont pas de FISH de paie."
soft | "Pourquoi est-ce que les mexicains mangent-ils aux toilettes ? Parce qu'ils aiment manger épicé. (et pisser)"
soft | "Qu'est-ce qu'un tennisman adore faire ? Rendre des services."
soft | "Pourquoi est-ce que les vêtements sont toujours fatigués quand ils sortent de la machine ? Parce qu'ils sont lessivés."
soft | "Pourquoi est-ce que les livres ont-ils toujours chaud ? Parce qu'ils ont une couverture."
soft | "Où est-ce que les super-héros vont-ils faire leurs courses ? Au supermarché."
soft | "Que se passe-t-il quand 2 poissons s'énervent ? Le thon monte."
soft | "Quel fruit est assez fort pour couper des arbres ? Le citron."
soft | "Quel est le jambon que tout le monde déteste ? Le sale ami."
soft | "Que fait un cendrier devant un ascenseur ? Il veut des cendres."
soft | "Que dit une imprimante dans l'eau ? J'ai papier."
soft | "Quel est l'aliment le plus hilarant ? Le riz."
soft | "Quel est le sport préféré des insectes ? Le cricket."
soft | "Pourquoi les girafes n'existent pas ? Parce que c'est un coup monté."
beauf | "Quel est le point commun entre un homme qui se réveille et un élastique ? Les deux s'étirent, s'étirent, puis pètent."
beauf | "Pourquoi les chasseurs tirent-ils sur les panneaux routiers ? Pour que les aveugles puissent les lire."
beauf | "Quelle est l'année préférée des beaufs ? 1664, en hommage à la célèbre bière."
beauf | "Quelle est la différence entre une bière et un livreur ? La Kronenbourg est à la poste, Chronopost est à la bourre."
beauf | "Pourquoi les hommes s'assoient-ils toujours jambes écartées ? Pour que leur cerveau respire."
beauf | "Un type commande 10 whiskys... la limite entre folie douce et surenchère comique s'efface."
beauf | "Un aveugle rentre dans un bar... illustration parfaite d'un humour visuel et absurde."
beauf | "Deux livres entrent dans un bar, et le barman dit : Pas d'histoires !"
beauf | "Qui est la plus intelligente entre une blonde, une brune ou une rousse ? Larousse !"
beauf | "La partie la plus dangereuse de la voiture ? C'est la conductrice !"
beauf | "Tu sais qu'une moto est anglaise parce que le guidon est à droite."
beauf | "Pourquoi les hommes s'assoient jambes écartées ? Pour que leur cerveau respire."
beauf | "Le barbecue improvisé en caravane : un grand classique des vacances Camping Paradis."
beauf | "Ne laisse pas le malaise s'installer, continue avec légèreté et un sourire complice."
beauf | "La souplesse et l'improvisation sont les clés : relance toujours avec un jeu de mots."
noir | "Pourquoi les cimetières sont les endroits les plus calmes ? Parce que tout le monde est mort de fatigue."
noir | "J'ai vu une personne tomber du 5e étage... elle a loupé son étage."
noir | "Pourquoi les squelettes ne racontent jamais de blague ? Parce qu'ils n'ont pas de tripes."
noir | "Mon grand-père est mort en mangeant du poisson... Ça lui apprendra à pêcher dans une centrale."
noir | "Pourquoi les fantômes sont toujours tristes ? Parce qu'ils vivent dans le passé."
noir | "On m'a dit que la vie est courte... J'aurais aimé qu'on me le dise avant de m'engager dans une relation."
noir | "Pourquoi les orphelins aiment les jeux de société ? Parce que Qui est-ce ? devient existentiel."
noir | "J'ai offert un puzzle à mon pote aveugle... Il cherche toujours l'image."
noir | "Mon humour est noir... Comme l'avenir de l'humanité."
noir | "C'est l'histoire d'un accident de voiture. C'est tout, y'a pas de chute. Comme la ceinture."
noir | "Pourquoi les cimetières ont des murs ? Parce que les morts veulent rester enterrés dans leur coin."
noir | "J'aime les feux d'artifice... surtout les ratés, c'est plus marrant."
noir | "Pourquoi les zombies ne vont jamais à l'école ? Parce qu'ils ont mangé le cerveau du prof."
noir | "On ne plaisante pas avec la mort. Sauf elle, elle rigole bien avec nous."
noir | "Pourquoi les canards traversent la route ? Pour aller voir leur famille... au fond du congélo."
